 	PREFEITURA MUNICIPAL DE RIBEIRÃO PRETO
SECRETARIA DA FAZENDA
Lista: 2000    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012    2013    2014    2015    2016    2017    2018    2019    2020    2021    2022    2023    2024    2025    2026   
TABELA DE SERVIÇOS DO ANO BASE DE 2026

CÓDIGO	 	SERVIÇO	REDUÇÃO BASE CALC.	ALIQUOTA	REDUÇÃO	INICIO	FIM	CÓD SERVIÇO LEI116
05.04.00	-         	Inseminação Artificial, Fertilização In Vitro E Congêneres, Na Área Veterinária.	---	2.50		01/2026	12/2026	0504
05.05.00	-         	Bancos De Sangue E De Órgãos E Congêneres, Na Área Veterinária.	---	2.50		01/2026	12/2026	0505
05.06.00	-         	Coleta De Sangue, Leite, Tecidos, Sêmen, Órgãos E Materiais Biológicos De Qualquer Espécie, Na Área Veterinária.	---	2.50		01/2026	12/2026	0506
05.07.00	-         	Unidade De Atendimento, Assistência Ou Tratamento Móvel E Congêneres, Na Área Veterinária.	---	2.50		01/2026	12/2026	0507
05.08.01	-         	Guarda,Alojamento E Congêneres.	---	2.50		01/2026	12/2026	0508
05.08.02	-         	Tratamento De Animais	---	2.50		01/2026	12/2026	0508
05.08.03	-         	Amestramento	---	2.50		01/2026	12/2026	0508
05.08.04	-         	Embelezamento De Animais	---	2.50		01/2026	12/2026	0508
05.09.00	-         	Planos De Atendimento E Assistência Médico-Veterinária.	---	2.50		01/2026	12/2026	0509
06.01.01	-         	Barbearia	---	2.00		01/2026	12/2026	0601
06.01.02	-         	Cabeleireiros	---	2.00		01/2026	12/2026	0601
06.01.03	-         	Manicuros	---	2.00		01/2026	12/2026	0601
06.01.04	-         	Manicuros	---	2.00		01/2026	12/2026	0601
06.01.05	-         	Pedicuros	---	2.00		01/2026	12/2026	0601
06.01.06	-         	Pedicuros	---	2.00		01/2026	12/2026	0601
06.02.01	-         	Esteticistas, Tratamento De Pele.	---	2.50		01/2026	12/2026	0602
06.02.02	-         	Depilação, Embelezamento E Congêneres.	---	2.50		01/2026	12/2026	0602
06.02.03	-         	Aplicação De Tatuagem, Piercing E Congêneres.	---	2.50		01/2026	12/2026	0606
06.03.01	-         	Banhos, Duchas, Sauna, E Congêneres.	---	2.50		01/2026	12/2026	0603
06.03.02	-         	Massagens.	---	2.50		01/2026	12/2026	0603
06.04.01	-         	Ginástica E Demais Atividades Físicas.	---	3.00		01/2026	12/2026	0604
06.04.02	-         	Dança	---	3.00		01/2026	12/2026	0604
06.04.03	-         	Outros Esportes.	---	3.00		01/2026	12/2026	0604
06.04.04	-         	Natação	---	3.00		01/2026	12/2026	0604
06.04.05	-         	Artes Marciais	---	3.00		01/2026	12/2026	0604
06.04.06	-         	Futebol	---	3.00		01/2026	12/2026	0604
06.04.07	-         	Tênis	---	3.00		01/2026	12/2026	0604
06.04.08	-         	Personal Trainer	---	3.00		01/2026	12/2026	0604
06.05.00	-         	Centros De Emagrecimento, Spa E Congêneres.	---	2.50		01/2026	12/2026	0605
07.01.01	-         	Engenharia Civil	---	2.00		01/2026	12/2026	0701
07.01.02	-         	Agronomia E Agrimensura	---	2.00		01/2026	12/2026	0701
07.01.03	-         	Arquitetura	---	2.00		01/2026	12/2026	0701
07.01.04	-         	Geologia	---	2.00		01/2026	12/2026	0701
07.01.05	-         	Urbanismo	---	2.00		01/2026	12/2026	0701
07.01.06	-         	Paisagismo E Congêneres	---	2.00		01/2026	12/2026	0701
07.01.07	-         	Outras Engenharias	---	2.00		01/2026	12/2026	0701
07.02.01	-         	Execução, Por Administração, Empreitada Ou Subempreitada, De Obras De Construção Civil, (Exceto O Fornecimento De Mercadorias Produzidas Pelo Prestador De Serviços, Fora Do Local Da Prestação Serviços, Que Fica Sujeito Ao Icms).	---	2.00		01/2026	12/2026	0702
07.02.02	-         	Execução De Obras Hidráulicas E De Outras Obras Semelhantes	---	2.00		01/2026	12/2026	0702
07.02.03	-         	Execução De Obras Elétricas E De Outras Obras Semelhantes	---	2.00		01/2026	12/2026	0702
07.02.04	-         	Sondagem, Perfuração De Poços, Escavação, Drenagem E Irrigação,	---	2.00		01/2026	12/2026	0702
07.02.05	-         	Execução De Obras De Terraplanagem, Pavimentação.	---	2.00		01/2026	12/2026	0702
07.02.06	-         	Instalação E Montagem De Produtos, Peças E Equipamentos (Construção Civil).	---	2.00		01/2026	12/2026	0702
07.02.07	-         	Execução De Obras De Telecomunicações	---	2.00		01/2026	12/2026	0702
07.02.08	-         	Execução De Edificações Em Geral	---	2.00		01/2026	12/2026	0702
07.02.09	-         	Execução De Pré-Moldados, Obras Com Pré-Moldados Qualquer Natureza.	---	2.00		01/2026	12/2026	0702
07.02.10	-         	Concretagem	---	2.00		01/2026	12/2026	0702
07.02.11	-         	Execução De Obras De Arte Especiais (Pontes, Viadutos, Túneis).	---	2.00		01/2026	12/2026	0702
07.02.12	-         	Execução De Estruturas Em Geral	---	2.00		01/2026	12/2026	0702
07.02.13	-         	Serviços Complementares, Execução De Alambrados, Cercas, Redes De Proteção, Telas Etc.	---	2.00		01/2026	12/2026	0702
07.02.14	-         	Impermeabilizações E Isolamentos	---	2.00		01/2026	12/2026	0702
07.02.15	-         	Serviços De Pedreiro	---	2.00		01/2026	12/2026	0702
07.02.16	-         	Serviços De Encanador	---	2.00		01/2026	12/2026	0702
07.02.17	-         	Serviços De Eletricista	---	2.00		01/2026	12/2026	0702
07.02.18	-         	Serviços De Pintor	---	2.00		01/2026	12/2026	0702
07.02.19	-         	Serviços De Calheiro	---	2.00		01/2026	12/2026	0702
07.02.20	-         	Serviços De Armador (Ferreiro)	---	2.00		01/2026	12/2026	0702
07.02.21	-         	Serviços De Instalação Ou Montagem De Antena Externa, Cabo Ou Satélite Para Televisão, Internet Ou Congêneres.	---	2.00		01/2026	12/2026	0702
07.02.22	-         	Serviços De Instalação Ou Montagem De Toldos Ou Congêneres, Fixos Ou Provisórios).	---	2.00		01/2026	12/2026	0702
07.02.23	-         	Serviços De Instalação Ou Montagem De Ar Condicionado Ou Congeneres	---	2.00		01/2026	12/2026	0702
07.02.24	-         	Serviços De Eletricista (Alarmes E Sistemas De Segurança)	---	2.00		01/2026	12/2026	0702
07.02.25	-         	Montagem De Elevadores, Escadas E Esteiras Rolantes.	---	2.00		01/2026	12/2026	0702
07.02.26	-         	Instalação E Montagem De Aparelhos E Centrais De Ar Condicionado, Refrigeração Ou Ventilação.	---	2.00		01/2026	12/2026	0702
07.02.27	-         	Execução De Cozinhas Planejadas Ou Outros Ambientes, Moduladas Ou Não.	---	2.00		01/2026	12/2026	0702
07.02.28	-         	Execução De Consultórios Planejados, Modulados Ou Não.	---	2.00		01/2026	12/2026	0702
07.02.29	-         	Instalação E Montagem De Mobiliário Para Estabelecimentos (Aparelhados Ou Não De Equipamentos Tais Como Balcões Refrigerados Ou Aquecidos).	---	2.00		01/2026	12/2026	0702
07.03.00	-         	Elaboração De Planos Diretores, Estudos De Viabilidade, Estudos Organizacionais E Outros, Relacionados Com Obras E Serviços De Engenharia. Elaboração De Anteprojetos, Projetos Básicos E Projetos Executivos Para Trabalhos De Engenharia.	---	3.00		01/2026	12/2026	0703
07.04.00	-         	Demolição.	---	2.00		01/2026	12/2026	0704
07.05.01	-         	Reparação, Conservação E Reforma De Edifícios, (Exceto O Fornecimento De Mercadorias Produzidas Pelo Prestador De Serviços, Fora Do Local Da Prestação Dos Serviços, Que Fica Sujeito Ao Icms).	---	2.00		01/2026	12/2026	0705
07.05.02	-         	Reparação, Conservação E Reforma De Estradas, Pontes, Portos E Congêneres (Exceto O Fornecimento De Mercadorias Produzidas Pelo Prestador De Serviços, Fora Do Local Da Prestação Dos Serviços, Que Fica Sujeito Ao Icms).	---	2.00		01/2026	12/2026	0705
07.05.03	-         	Execução De Obras Para Sinalização E Complementação Para Sistemas Viários.	---	2.00		01/2026	12/2026	0705
