 	PREFEITURA MUNICIPAL DE RIBEIRÃO PRETO
SECRETARIA DA FAZENDA
Lista: 2000    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012    2013    2014    2015    2016    2017    2018    2019    2020    2021    2022    2023    2024    2025    2026   
TABELA DE SERVIÇOS DO ANO BASE DE 2026

CÓDIGO	 	SERVIÇO	REDUÇÃO BASE CALC.	ALIQUOTA	REDUÇÃO	INICIO	FIM	CÓD SERVIÇO LEI116
19.01.02	-         	Distribuição E Venda De Cartelas, Sorteios Ou Prêmios Em Bingos, Telebingos E Assemelhados.	---	4.00		01/2026	12/2026	1901
20.01.00	-         	Serviços Portuários, Ferroportuários, Utilização De Porto, Movimentação De Passageiros, Reboque De Embarcações, Rebocador Escoteiro, Atracação, Desatracação, Serviços De Praticagem, Capatazia, Armazenagem De Qualquer Natureza, Serviços Acessórios, Movimen	---	5.00		01/2026	12/2026	2001
20.02.00	-         	Serviços Aeroportuários, Utilização De Aeroporto, Movimentação De Passageiros, Armazenagem De Qualquer Natureza, Capatazia, Movimentação De Aeronaves, Serviços De Apoio Aeroportuários, Serviços Acessórios, Movimentação De Mercadorias, Logística E Congêner	---	5.00		01/2026	12/2026	2002
20.03.00	-         	Serviços De Terminais Rodoviários, Ferroviários, Metroviários, Movimentação De Passageiros, Mercadorias, Inclusive Suas Operações, Logística E Congêneres.	---	5.00		01/2026	12/2026	2003
21.01.00	-         	Serviços De Registros Públicos, Cartorários E Notariais.	---	2.00		01/2026	12/2026	2101
22.01.01	-         	Serviços De Exploração De Rodovia Mediante Cobrança De Preço Ou Pedágio Dos Usuários, Envolvendo Execução De Serviços De Conservação, Manutenção, Melhoramentos Para Adequação De Capacidade E Segurança De Trânsito, Operação, Monitoração, Assistência Aos Us	---	5.00		01/2026	12/2026	2201
22.01.02	-         	Serviços Definidos Em Contrato - Operação, Manutenção, Coordenação, Fornecimento, Fiscalização E Instalação De Equipamentos Estáticos Ou Portáteis, Fixos Ou Não, De Registro Das Infrações De Excesso De Velocidade, Ou De Passagem, Em Rodovias.	---	5.00		01/2026	12/2026	2201
23.01.00	-         	Serviços De Programação E Comunicação Visual, Desenho Industrial E Congêneres.	---	2.00		01/2026	12/2026	2301
24.01.01	-         	Serviços De Chaveiros.	---	2.50		01/2026	12/2026	2401
24.01.02	-         	Serviços De Confecção De Carimbos.	---	2.50		01/2026	12/2026	2401
24.01.03	-         	Serviços De Confecção De Placas, Sinalização Visual, Banners, Adesivos E Congêneres.	---	2.50		01/2026	12/2026	2401
25.01.00	-         	Funerais, Inclusive Fornecimento De Caixão, Urna Ou Esquifes. Aluguel De Capela. Transporte Do Corpo Cadavérico. Fornecimento De Flores, Coroas E Outros Paramentos. Desembaraço De Certidão De Óbito. Fornecimento De Véu, Essa E Outros Adornos. Embalsamento	---	4.00		01/2026	12/2026	2501
25.02.00	-         	Translado Intramunicipal E Cremação De Corpos E Partes De Corpos Cadavéricos. 	---	4.00		01/2026	12/2026	2502
25.03.00	-         	Planos Ou Convênio Funerários.	---	4.00		01/2026	12/2026	2503
25.04.00	-         	Manutenção E Conservação De Jazigos E Cemitérios.	---	2.00		01/2026	12/2026	2504
25.05.00	-         	Cessão De Uso De Espaços Em Cemitérios Para Sepultamento.	---	4.00		01/2026	12/2026	2505
26.01.01	-         	Serviços De Coleta, Remessa Ou Entrega De Correspondências, Documentos, Objetos Ou Bens, Pelos Correios E Suas Agências Franqueadas.	---	4.00		01/2026	12/2026	2601
26.01.02	-         	Transporte De Valores, Dentro Do Território Do Município.	---	4.00		01/2026	12/2026	2601
26.01.03	-         	Serviços De Coleta, Remessa Ou Entrega De Correspondências, Documentos, Objetos, Bens Ou Valores, Por Courrier, Moto-Boy Ou Congêneres.	---	4.00		01/2026	12/2026	2601
27.01.00	-         	Serviços De Assistência Social.	---	2.00		01/2026	12/2026	2701
28.01.00	-         	Serviços De Avaliação De Bens E Serviços De Qualquer Natureza.	---	2.00		01/2026	12/2026	2801
29.01.00	-         	Serviços De Biblioteconomia.	---	2.00		01/2026	12/2026	2901
30.01.01	-         	Serviços De Biologia.	---	2.00		01/2026	12/2026	3001
30.01.02	-         	Serviços De Biotecnologia	---	2.00		01/2026	12/2026	3001
30.01.03	-         	Serviços De Química	---	2.00		01/2026	12/2026	3001
31.01.01	-         	Serviços Técnicos Em Edificações	---	2.00		01/2026	12/2026	3101
31.01.02	-         	Serviços Técnicos Em Eletrônica.	---	2.00		01/2026	12/2026	3101
31.01.03	-         	Serviços Técnicos Em Eletrotécnica.	---	2.00		01/2026	12/2026	3101
31.01.04	-         	Serviços Técnicos Em Mecânica.	---	2.00		01/2026	12/2026	3101
31.01.05	-         	Serviços Técnicos Em Telecomunicações E Congêneres.	---	2.00		01/2026	12/2026	3101
32.01.00	-         	Serviços De Desenhos Técnicos.	---	3.00		01/2026	12/2026	3201
33.01.00	-         	Serviços De Desembaraço Aduaneiro, Comissários, Despachantes E Congêneres.	---	2.00		01/2026	12/2026	3301
34.01.00	-         	Serviços De Investigações Particulares, Detetives E Congêneres.	---	2.50		01/2026	12/2026	3401
35.01.01	-         	Serviços De Reportagem.	---	2.00		01/2026	12/2026	3501
35.01.02	-         	Assessoria De Imprensa	---	2.00		01/2026	12/2026	3501
35.01.03	-         	Jornalismo.	---	2.00		01/2026	12/2026	3501
35.01.04	-         	Relações Públicas.	---	2.00		01/2026	12/2026	3501
35.01.05	-         	Locutor, Apresentador	---	2.00		01/2026	12/2026	3501
36.01.00	-         	Serviços De Meteorologia.	---	2.50		01/2026	12/2026	3601
37.01.01	-         	Serviços De Artistas.	---	2.00		01/2026	12/2026	3701
37.01.02	-         	Serviços De Atletas.	---	2.00		01/2026	12/2026	3701
37.01.03	-         	Serviços De Modelos E Manequins.	---	2.00		01/2026	12/2026	3701
38.01.00	-         	Serviços De Museologia.	---	2.00		01/2026	12/2026	3801
39.01.00	-         	Serviços De Ourivesaria E Lapidação (Quando O Material For Fornecido Pelo Tomador Do Serviço).	---	2.50		01/2026	12/2026	3901
40.01.00	-         	Obras De Arte Sob Encomenda.	---	2.50		01/2026	12/2026	4001
13.01.00	-         	(Vetado)	---	0.00		01/2026	12/2026	1301
