Codigo;Descricao
104032900;Serviços de transporte aquaviário internacional de passageiros não classificados em subposições anteriores
104033;Serviços de transporte aéreo internacional de passageiros
104033100;Serviços de transporte aéreo internacional regular de passageiros
104033200;Serviços de táxi aéreo internacional
104033300;Serviços de transporte aéreo internacional de passageiros por fretamento
104033900;Serviços de transporte aéreo internacional de passageiros não classificados em subposições anteriores
104039000;Serviços de transporte internacional de passageiros não classificados em subposições anteriores
10404;Locação de veículos de passageiros com operador
104041000;Locação de veículos rodoviários de passageiros com motorista
104042000;Locação de embarcações de passageiros com tripulação
104043000;Locação de aeronaves de passageiros com tripulação
104050000;Afretamento de embarcações de passageiros por tempo
105;Serviços de transporte de cargas
10501;Serviços de transporte terrestre de cargas
105011;Serviços de transporte rodoviário de cargas
1050111;Serviços de transporte rodoviário de cargas a granel
105011110;Serviços de transporte rodoviário de cargas sólidas a granel
105011120;Serviços de transporte rodoviário de cargas líquidas, ou liquefeitas, a granel
105011130;Serviços de transporte rodoviário de cargas gasosas a granel
1050112;Serviços de transporte rodoviário de carga geral, exceto em contêineres
105011210;Serviços de transporte rodoviário de carga solta, não unitizada
105011220;Serviços de transporte rodoviário de carga unitizada
105011230;Serviços de transporte rodoviário de carga frigorificada ou climatizada
1050113;Serviços de transporte rodoviário de cargas em contêineres
105011310;Serviços de transporte rodoviário de cargas em contêineres frigorificados ou climatizados
105011320;Serviços de transporte rodoviário de cargas em contêineres não frigorificados ou climatizados
1050114;Serviços de transporte rodoviário de cargas especiais
105011410;Serviços de transporte rodoviário de cargas vivas
105011420;Serviços de transporte rodoviário de mudanças domésticas e de mobília e outros objetos de escritório
105011430;Serviços de transporte rodoviário de cargas de grande porte
105011440;Serviços de transporte rodoviário de veículos
10501145;Serviços de transporte rodoviário de produtos perigosos
105011451;Serviços de transporte rodoviário de combustíveis, lubrificantes e GLP, inclusive apresentados em botijões metálicos
105011452;Serviços de transporte rodoviário de produtos químicos perigosos, exceto lubrificantes e GLP
105011459;Serviços de transporte rodoviário de produtos perigosos não classificados em subitens anteriores
105011500;Serviços de transporte rodoviário de cargas postais e malotes
105011900;Serviços de transporte rodoviário de cargas não classificados em subposições anteriores
